山西移动,#genre#
黑龙江卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.93:8000
湖北卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.88:8000
湖南卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.82:8000
吉林卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.173:8000
江苏卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.83:8000
江西卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.47:8000
金色学堂,http://annaxi.lw-home.com:11111/udp/239.253.254.101:8000
金鹰纪实,http://annaxi.lw-home.com:11111/udp/239.253.254.103:8000
金鹰卡通,http://annaxi.lw-home.com:11111/udp/239.253.254.117:8000
精彩电影,http://annaxi.lw-home.com:11111/udp/239.253.254.142:8000
卡酷少儿,http://annaxi.lw-home.com:11111/udp/239.253.254.66:8000
莱西,http://annaxi.lw-home.com:11111/udp/239.253.254.247:8000
崂山,http://annaxi.lw-home.com:11111/udp/239.253.254.242:8000
梨园,http://annaxi.lw-home.com:11111/udp/239.253.254.139:8000
辽宁卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.92:8000
魅力足球,http://annaxi.lw-home.com:11111/udp/239.253.254.100:8000
平度,http://annaxi.lw-home.com:11111/udp/239.253.254.248:8000
青岛李沧,http://annaxi.lw-home.com:11111/udp/239.253.254.253:8000
青岛生活,http://annaxi.lw-home.com:11111/udp/239.253.254.244:8000
青岛综合,http://annaxi.lw-home.com:11111/udp/239.253.254.243:8000
青海卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.195:8000
山东购物,http://annaxi.lw-home.com:11111/udp/239.253.254.104:8000
山东教育,http://annaxi.lw-home.com:11111/udp/239.253.254.59:8000
山东农科,http://annaxi.lw-home.com:11111/udp/239.253.254.24:8000
山东齐鲁,http://annaxi.lw-home.com:11111/udp/239.253.254.114:8000
山东少儿,http://annaxi.lw-home.com:11111/udp/239.253.254.25:8000
山东生活,http://annaxi.lw-home.com:11111/udp/239.253.254.151:8000
山东体育,http://annaxi.lw-home.com:11111/udp/239.253.254.22:8000
